timestamp,station_id,temperature_c,humidity_pct,precipitation_mm,wind_speed_kmh,visibility_km,weather_type,air_quality_index,uv_index,pressure_hpa
2024-01-01 00:00:00,WS-01,23.8,59.8,3.5,11.4,5.5,Hujan Ringan,49,0,1013.2
2024-01-01 00:00:00,WS-02,23.9,59.0,4.5,13.6,5.3,Hujan Ringan,61,0,1011.7
2024-01-01 00:00:00,WS-03,23.4,63.8,5.4,13.5,5.3,Hujan Ringan,59,0,1012.8
2024-01-01 00:00:00,WS-04,23.4,62.3,6.6,14.9,5.1,Hujan Ringan,56,0,1012.5
2024-01-01 00:00:00,WS-05,23.2,64.1,5.6,12.7,5.3,Hujan Ringan,57,0,1012.5
2024-01-01 00:00:00,WS-06,24.2,64.4,6.4,12.0,4.9,Hujan Ringan,64,0,1013.2
2024-01-01 00:00:00,WS-07,24.6,63.0,3.8,14.3,5.4,Hujan Ringan,59,0,1011.7
2024-01-01 00:00:00,WS-08,24.5,59.1,6.9,13.4,5.3,Hujan Ringan,59,0,1012.3
2024-01-01 00:00:00,WS-09,24.0,60.8,3.8,11.6,4.8,Hujan Ringan,50,0,1011.4
2024-01-01 00:00:00,WS-10,22.9,58.6,7.1,13.3,5.6,Hujan Ringan,48,0,1011.6
2024-01-01 01:00:00,WS-01,25.3,82.2,1.7,20.5,9.5,Berawan,102,0,1012.2
2024-01-01 01:00:00,WS-02,24.0,81.8,-1.7,22.9,9.5,Berawan,107,0,1013.1
2024-01-01 01:00:00,WS-03,25.7,84.8,-1.9,23.7,10.0,Berawan,105,0,1013.6
2024-01-01 01:00:00,WS-04,25.3,86.1,1.4,23.8,10.0,Berawan,98,0,1012.7
2024-01-01 01:00:00,WS-05,25.6,82.3,-1.4,21.0,9.2,Berawan,110,0,1013.9
2024-01-01 01:00:00,WS-06,25.9,84.2,-0.9,21.5,9.2,Berawan,103,0,1013.4
2024-01-01 01:00:00,WS-07,25.7,82.4,0.2,23.9,9.1,Berawan,103,0,1012.5
2024-01-01 01:00:00,WS-08,25.0,84.8,-1.3,23.6,9.8,Berawan,100,0,1013.7
2024-01-01 01:00:00,WS-09,24.7,84.1,-0.8,21.6,9.9,Berawan,102,0,1012.4
2024-01-01 01:00:00,WS-10,24.6,81.4,-0.4,22.4,9.7,Berawan,103,0,1013.9
2024-01-01 02:00:00,WS-01,22.4,70.5,-0.6,17.3,2.0,Kabut,118,0,1016.9
2024-01-01 02:00:00,WS-02,21.6,73.1,0.6,15.3,2.8,Kabut,119,0,1016.3
2024-01-01 02:00:00,WS-03,23.1,73.4,1.5,18.0,2.0,Kabut,122,0,1017.0
2024-01-01 02:00:00,WS-04,22.7,69.7,1.8,15.9,2.3,Kabut,115,0,1017.9
2024-01-01 02:00:00,WS-05,21.8,70.1,1.3,18.1,2.1,Kabut,112,0,1016.8
2024-01-01 02:00:00,WS-06,21.8,70.2,-0.6,19.1,2.6,Kabut,108,0,1017.2
2024-01-01 02:00:00,WS-07,21.4,72.6,1.0,17.1,2.5,Kabut,118,0,1017.0
2024-01-01 02:00:00,WS-08,21.8,67.8,-0.7,16.8,2.2,Kabut,115,0,1017.3
2024-01-01 02:00:00,WS-09,22.7,68.6,-1.9,16.4,2.5,Kabut,110,0,1017.4
2024-01-01 02:00:00,WS-10,22.4,72.8,-1.1,15.5,2.3,Kabut,120,0,1017.9
2024-01-01 03:00:00,WS-01,26.2,87.1,-1.5,6.9,12.6,Berawan,88,0,1010.9
2024-01-01 03:00:00,WS-02,27.8,89.2,-1.7,6.9,12.6,Berawan,82,0,1011.2
2024-01-01 03:00:00,WS-03,26.1,89.6,0.2,6.6,13.3,Berawan,81,0,1010.8
2024-01-01 03:00:00,WS-04,26.2,87.7,1.0,4.0,12.8,Berawan,86,0,1011.2
2024-01-01 03:00:00,WS-05,26.5,85.9,1.2,6.0,13.3,Berawan,83,0,1012.0
2024-01-01 03:00:00,WS-06,27.3,88.3,-1.5,3.8,12.7,Berawan,87,0,1011.1
2024-01-01 03:00:00,WS-07,26.1,86.6,-1.9,6.5,13.0,Berawan,83,0,1010.2
2024-01-01 03:00:00,WS-08,27.0,85.4,-1.2,6.5,13.3,Berawan,86,0,1010.5
2024-01-01 03:00:00,WS-09,26.1,88.3,1.8,7.1,13.4,Berawan,78,0,1011.7
2024-01-01 03:00:00,WS-10,27.0,89.1,-0.8,4.7,12.8,Berawan,82,0,1011.9
2024-01-01 04:00:00,WS-01,20.8,76.8,18.9,37.6,2.4,Hujan Lebat,69,0,1012.3
2024-01-01 04:00:00,WS-02,22.1,76.4,19.0,35.3,2.3,Hujan Lebat,84,0,1012.1
2024-01-01 04:00:00,WS-03,21.6,74.9,19.8,37.5,2.2,Hujan Lebat,69,0,1012.0
2024-01-01 04:00:00,WS-04,21.1,72.6,19.9,38.1,1.8,Hujan Lebat,75,0,1012.4
2024-01-01 04:00:00,WS-05,21.7,72.0,21.1,38.9,1.8,Hujan Lebat,85,0,1012.0
2024-01-01 04:00:00,WS-06,20.6,74.2,20.1,37.1,2.5,Hujan Lebat,72,0,1012.0
2024-01-01 04:00:00,WS-07,21.7,73.5,20.1,38.9,2.1,Hujan Lebat,83,0,1011.9
2024-01-01 04:00:00,WS-08,21.0,75.4,22.3,38.8,1.6,Hujan Lebat,78,0,1013.4
2024-01-01 04:00:00,WS-09,20.8,76.9,20.2,36.8,2.2,Hujan Lebat,73,0,1013.8
2024-01-01 04:00:00,WS-10,21.9,76.8,22.1,39.0,2.4,Hujan Lebat,73,0,1012.6
2024-01-01 05:00:00,WS-01,23.6,86.4,0.3,21.0,5.4,Hujan Ringan,139,0,1009.2
2024-01-01 05:00:00,WS-02,23.7,89.1,0.2,21.0,5.9,Hujan Ringan,130,0,1009.3
2024-01-01 05:00:00,WS-03,24.7,87.3,1.0,21.7,5.7,Hujan Ringan,136,0,1008.3
2024-01-01 05:00:00,WS-04,23.9,84.6,-1.1,20.1,5.5,Hujan Ringan,129,0,1009.2
2024-01-01 05:00:00,WS-05,24.5,87.8,1.6,20.4,6.1,Hujan Ringan,124,0,1009.0
2024-01-01 05:00:00,WS-06,23.6,84.7,2.2,23.2,5.3,Hujan Ringan,141,0,1010.0
2024-01-01 05:00:00,WS-07,25.3,85.7,1.0,21.7,5.3,Hujan Ringan,124,0,1008.4
2024-01-01 05:00:00,WS-08,23.8,89.6,2.2,20.7,5.6,Hujan Ringan,133,0,1010.0
2024-01-01 05:00:00,WS-09,24.5,84.5,-1.0,20.6,5.5,Hujan Ringan,131,0,1008.8
2024-01-01 05:00:00,WS-10,24.1,84.9,-0.1,21.0,6.1,Hujan Ringan,124,0,1009.1
2024-01-01 06:00:00,WS-01,28.2,87.7,0.5,4.3,12.8,Berawan,118,5.9,1016.0
2024-01-01 06:00:00,WS-02,29.2,87.2,-1.0,5.8,13.2,Berawan,123,5.9,1016.6
2024-01-01 06:00:00,WS-03,28.6,91.5,1.3,5.3,12.8,Berawan,109,5.9,1015.7
2024-01-01 06:00:00,WS-04,28.1,87.7,0.6,5.5,13.0,Berawan,114,5.9,1016.9
2024-01-01 06:00:00,WS-05,29.3,91.6,1.1,3.7,12.3,Berawan,124,5.9,1017.3
2024-01-01 06:00:00,WS-06,28.1,89.5,0.2,7.1,12.8,Berawan,114,5.9,1017.1
2024-01-01 06:00:00,WS-07,28.0,89.9,1.4,5.4,12.7,Berawan,118,5.9,1016.5
2024-01-01 06:00:00,WS-08,28.3,91.3,-0.8,5.0,12.5,Berawan,111,5.9,1016.0
