Vehicle_Count,Traffic_Speed_kmh,Road_Occupancy_%,Traffic_Light_State,Weather_Condition,Accident_Report,Sentiment_Score,Ride_Sharing_Demand,Parking_Availability,Emission_Levels_g_km,Energy_Consumption_L_h,Traffic_Condition,hour,day_of_week,is_weekend,is_rush_hour
205,49.89343479610332,82.65277992850861,2,0,0,-0.6091990900689384,2,45,450.7600550695179,19.57433652960039,high,0,4,0,0
202,22.38396487008785,45.82929780270145,0,0,0,0.965442369948869,16,1,321.8003405168867,5.385553512193732,high,0,4,0,0
252,46.88969943933488,82.77246480269831,0,2,0,0.2896603158283986,16,49,231.1526548042294,10.277477486419944,high,0,4,0,0
37,5.73053642288215,37.69556743980888,1,1,0,-0.2719647381913392,66,10,410.3842921098877,29.243279449960266,high,0,4,0,0
64,61.34803435570192,22.31335794983795,1,3,0,-0.7976056171199948,3,5,364.4663416875681,16.801458761149803,low,0,4,0,0
125,9.15074562077742,72.79990343468822,0,0,0,-0.5946363258437672,78,27,349.0453075341282,29.805841938330232,high,0,4,0,0
125,9.162774286317184,34.18201801274164,0,3,0,0.5442838486792319,21,42,363.7459309898909,18.890578675520043,high,0,4,0,0
130,40.993622396031405,40.42793231937237,2,0,0,0.7440578886965032,92,22,82.19081477288391,12.117573134703528,medium,0,4,0,0
67,73.90533684403202,80.60737469182321,0,0,0,-0.4399310045244551,27,4,477.2324199553465,17.22367898264705,high,0,4,0,0
12,65.53559165495976,47.11495674614308,0,1,0,0.5666006957850183,28,8,56.86540356176727,13.04474290683431,low,0,4,0,0
117,60.481377184050814,56.001738449270526,0,1,0,0.6664657071865467,77,39,295.9050841290863,18.446978633014037,medium,0,4,0,0
12,38.73987429516659,69.65316330616227,0,1,0,0.7141623836873849,14,2,179.55588051529534,22.226653546783027,medium,0,4,0,0
97,61.94792468231577,17.328211252878866,1,1,0,-0.4160295300566128,70,12,157.00581313571243,7.226278360692663,low,1,4,0,0
265,64.42220656036997,94.97458762743562,2,2,0,-0.509843380609708,72,24,323.52502528496336,16.808287514257266,high,1,4,0,0
187,24.435895690008063,47.48922185752585,1,3,0,0.3623683878276231,83,36,351.410216996325,7.264291396576307,medium,1,4,0,0
139,21.67302311052592,45.85708774128288,1,0,0,0.7311004064796309,25,8,421.73816741660187,7.12983667274067,medium,1,4,0,0
298,39.8146802697647,73.0033476502656,0,3,0,0.3020293127957278,34,39,108.97478132734614,20.30003674919476,high,1,4,0,0
168,71.17270013565329,90.3311355095128,1,3,0,-0.1871333686058931,33,6,122.32794699154114,29.551370001069635,high,1,4,0,0
188,50.22358935829257,85.22206471130797,2,2,0,-0.7701418177688828,35,47,391.9104428862423,11.82297830383838,high,1,4,0,0
176,19.51636298845032,89.38515987287367,0,3,0,0.3865153779002392,80,10,106.8701080690732,18.44268948648869,high,1,4,0,0
38,60.81684312012823,48.5543592082827,1,0,0,0.2155134762549486,25,39,182.07658609405055,18.188052384304385,low,1,4,0,0
113,36.09859481632135,82.04990255159494,0,0,0,-0.7653051192371645,32,7,470.3349269243291,8.304640100191714,high,1,4,0,0
56,57.38454322166173,24.764000188126225,0,2,0,-0.8891883051351825,35,34,263.2759892873477,20.718723109662093,low,1,4,0,0
114,79.99755567864995,25.02061511790715,2,2,0,0.552604021206045,95,10,192.10991670597213,7.2327914211873745,medium,1,4,0,0
